==========================================================================
                         AUCTION HISTORY LOG
==========================================================================

ID    | Bidder   | Item   | Amount   | Timestamp            | Status     | Notification
-----|----------|--------|----------|----------------------|------------|----------------------------------
0     | 3        | 0      | $112     | 20:48:51             | ACCEPTED   | ACCEPTED: $112 bid on Item 0
1     | 7        | 2      | $392     | 20:48:51             | ACCEPTED   | ACCEPTED: $392 bid on Item 2
2     | 6        | 0      | $156     | 20:48:51             | ACCEPTED   | ACCEPTED: $156 bid on Item 0
3     | 3        | 0      | $176     | 20:48:51             | ACCEPTED   | ACCEPTED: $176 bid on Item 0
4     | 6        | 0      | $192     | 20:48:51             | ACCEPTED   | ACCEPTED: $192 bid on Item 0
5     | 3        | 0      | $212     | 20:48:51             | ACCEPTED   | ACCEPTED: $212 bid on Item 0
6     | 6        | 0      | $228     | 20:48:51             | ACCEPTED   | ACCEPTED: $228 bid on Item 0
7     | 3        | 0      | $248     | 20:48:51             | ACCEPTED   | ACCEPTED: $248 bid on Item 0
8     | 6        | 0      | $264     | 20:48:51             | ACCEPTED   | ACCEPTED: $264 bid on Item 0
9     | 3        | 0      | $284     | 20:48:51             | ACCEPTED   | ACCEPTED: $284 bid on Item 0
10    | 6        | 0      | $300     | 20:48:51             | ACCEPTED   | ACCEPTED: $300 bid on Item 0
11    | 3        | 0      | $320     | 20:48:51             | ACCEPTED   | ACCEPTED: $320 bid on Item 0
12    | 6        | 0      | $336     | 20:48:51             | ACCEPTED   | ACCEPTED: $336 bid on Item 0
13    | 3        | 0      | $356     | 20:48:51             | ACCEPTED   | ACCEPTED: $356 bid on Item 0
14    | 6        | 0      | $372     | 20:48:51             | ACCEPTED   | ACCEPTED: $372 bid on Item 0
15    | 3        | 0      | $392     | 20:48:51             | ACCEPTED   | ACCEPTED: $392 bid on Item 0
16    | 6        | 0      | $408     | 20:48:51             | ACCEPTED   | ACCEPTED: $408 bid on Item 0
17    | 3        | 0      | $428     | 20:48:51             | ACCEPTED   | ACCEPTED: $428 bid on Item 0
18    | 6        | 0      | $444     | 20:48:51             | ACCEPTED   | ACCEPTED: $444 bid on Item 0
19    | 3        | 0      | $464     | 20:48:51             | ACCEPTED   | ACCEPTED: $464 bid on Item 0
20    | 6        | 0      | $480     | 20:48:51             | ACCEPTED   | ACCEPTED: $480 bid on Item 0
21    | 3        | 0      | $500     | 20:48:51             | ACCEPTED   | ACCEPTED: $500 bid on Item 0
22    | 6        | 0      | $516     | 20:48:51             | ACCEPTED   | ACCEPTED: $516 bid on Item 0
23    | 4        | 2      | $425     | 20:48:51             | ACCEPTED   | ACCEPTED: $425 bid on Item 2
24    | 7        | 2      | $461     | 20:48:51             | ACCEPTED   | ACCEPTED: $461 bid on Item 2
25    | 4        | 2      | $497     | 20:48:51             | ACCEPTED   | ACCEPTED: $497 bid on Item 2
26    | 7        | 2      | $533     | 20:48:51             | ACCEPTED   | ACCEPTED: $533 bid on Item 2
27    | 4        | 2      | $569     | 20:48:51             | ACCEPTED   | ACCEPTED: $569 bid on Item 2
28    | 7        | 2      | $605     | 20:48:51             | ACCEPTED   | ACCEPTED: $605 bid on Item 2
29    | 4        | 2      | $641     | 20:48:51             | ACCEPTED   | ACCEPTED: $641 bid on Item 2
30    | 7        | 2      | $677     | 20:48:51             | ACCEPTED   | ACCEPTED: $677 bid on Item 2
31    | 4        | 2      | $713     | 20:48:51             | ACCEPTED   | ACCEPTED: $713 bid on Item 2
32    | 7        | 2      | $749     | 20:48:51             | ACCEPTED   | ACCEPTED: $749 bid on Item 2
33    | 4        | 2      | $785     | 20:48:51             | ACCEPTED   | ACCEPTED: $785 bid on Item 2
34    | 7        | 2      | $821     | 20:48:51             | ACCEPTED   | ACCEPTED: $821 bid on Item 2
35    | 4        | 2      | $857     | 20:48:51             | ACCEPTED   | ACCEPTED: $857 bid on Item 2
36    | 7        | 2      | $893     | 20:48:51             | ACCEPTED   | ACCEPTED: $893 bid on Item 2
